stock,date,open,close,sentiment_score
nvda,2025-03-05,117.58,117.3,0.9999998807907104
nvda,2025-03-06,113.53,110.57,-0.49988028407096863
nvda,2025-03-07,111.25,112.69,-0.00030735135078419074
vz,2005-01-19,21.6711,21.3137,0.0
vz,2005-03-01,21.169,21.0835,0.0
vz,2005-03-14,21.0835,20.9825,0.0
vz,2005-04-06,20.8688,20.6533,0.0
vz,2005-04-18,19.9569,19.7704,0.99994158744812
vz,2005-05-24,20.5882,20.4716,0.0
vz,2005-07-06,20.0832,20.0161,0.0
vz,2005-08-24,19.3392,19.0721,0.0
vz,2005-10-06,18.2669,18.0931,0.0
vz,2005-10-27,18.2155,17.8901,1.0
vz,2005-11-15,18.1349,17.9231,0.0
vz,2005-11-16,17.9921,18.0873,0.0
vz,2006-01-23,18.0572,18.0299,0.0
vz,2006-01-25,18.0299,18.2494,0.0
vz,2006-02-17,20.0938,20.2278,0.0
vz,2006-03-08,19.4907,19.447,0.9999032020568848
vz,2006-04-27,19.1848,19.379,0.0
vz,2006-06-14,18.3777,18.3903,0.0
vz,2006-09-28,21.3895,21.4827,0.0
vz,2006-11-07,21.5584,21.4439,0.0
vz,2006-12-13,20.8029,20.8611,0.0
vz,2007-02-02,22.215,22.1975,0.0
vz,2007-03-27,21.9081,21.9188,0.0
vz,2007-05-31,25.4842,25.3161,0.0
vz,2007-08-10,24.1924,24.0351,0.0
vz,2007-10-03,26.3175,26.3107,0.0
vz,2008-01-15,24.7169,24.5265,0.0
vz,2008-02-18,22.2112,20.5533,0.0
vz,2008-02-19,22.2112,20.5533,0.9999954700469972
vz,2008-03-05,20.7562,20.9048,0.0
vz,2008-03-19,20.5882,20.4289,0.0
vz,2008-04-02,21.9761,22.0751,0.0
vz,2008-05-14,22.2218,22.654,0.9999990463256836
vz,2008-06-05,21.5468,22.6578,0.0
vz,2011-06-11,20.7533,20.9893,-0.9931039214134216
vz,2013-01-22,27.6228,27.583,-0.9999923706054688
vz,2013-01-25,27.4354,27.4101,0.0
vz,2013-02-25,29.2293,29.3691,0.0
vz,2013-04-03,31.7563,31.4679,-0.6602771282196045
vz,2013-04-25,34.065,34.5438,0.0
vz,2013-04-27,34.8235,34.7022,0.0
vz,2013-04-29,34.8235,34.7022,0.0
vz,2013-05-06,34.1252,33.7883,0.0
vz,2013-05-10,34.266,34.3311,0.0
vz,2013-05-14,34.0796,34.5156,0.5101522207260132
